index_number,followers_count_linkedin,number_of_connections_mapped_linkedin,about_section_linkedin,average_reaction_count_linkedin,average_comment_count_linkedin,average_post_frequency_linkedin
457,537,1,"Gregg is an expert snowboard/skateboard/business professional and excellent person anyone would be lucky to call friend, partner, coach, consultant. Not only has he personally had a hand in growing the sports, he has achieved the pinnacle of success with his own athleticism and loves to help others lift their game into success. Gregg has helped me in business, sport, and my own personal gains. I would hire again and again. Everyone feels better and does better after having spent time with Gregg! Jon Shepard PSIA instructor, coach, business owner, certified energy specialistGregg is an expert snowboard/skateboard/business professional and excellent person anyone would be lucky to call friend, partner, coach, consultant. Not only has he personally had a hand in growing the sports, he has achieved the pinnacle of success with his own athleticism and loves to help others lift their game into success. Gregg has helped me in business, sport, and my own personal gains. I would hire again and again. Everyone feels better and does better after having spent time with Gregg!
Jon Shepard 
PSIA instructor, coach, business owner, certified energy specialist",19.0,5.0,263.81
2806,69640,1,"My name is Hussein and I’m a software engineer. My software journey started around 1998 when my uncle gave me a book titled `Learn Programming and Visual Basic 2.0`. That book made me realized that I enjoy the craft of building software. Using every medium available I would talk about software in a form of bulletin boards, blogs, books, courses, podcasts, and videos.These days I run a YouTube channel where I cover software engineering topics with a focus on backend tech. I discuss databases, proxies, security, networking, protocols, and programming. I also cover recent news and current events in the field of software.I specialize in the field of geographic information systems (or GIS for short). Since 2005, I helped many organizations in the Middle East implement Esri GIS by designing and building mapping apps to streamline their workflows. I wrote five books on Esri’s technologies and I've been a principal engineer there since 2015.Using software to solve interesting problems is one of the fascinating things I really enjoy. Feel free to contact me on my social media channels to ask questions or share interesting problems. I would love to hear it!My name is Hussein and I’m a software engineer. My software journey started around 1998 when my uncle gave me a book titled `Learn Programming and Visual Basic 2.0`. That book made me realized that I enjoy the craft of building software. Using every medium available I would talk about software in a form of bulletin boards, blogs, books, courses, podcasts, and videos.

These days I run a YouTube channel where I cover software engineering topics with a focus on backend tech. I discuss databases, proxies, security, networking, protocols, and programming. I also cover recent news and current events in the field of software.

I specialize in the field of geographic information systems (or GIS for short). Since 2005, I helped many organizations in the Middle East implement Esri GIS by designing and building mapping apps to streamline their workflows. I wrote five books on Esri’s technologies and I've been a principal engineer there since 2015.

Using software to solve interesting problems is one of the fascinating things I really enjoy. Feel free to contact me on my social media channels to ask questions or share interesting problems. I would love to hear it!",190.0,1.0,1.0
919,835,1,Skills: Networking · Architecture · Automotive Technology · Engineering · Team Leadership · Customer Relationship Management (CRM) · REST APIs · Consulting · Requirements Analysis · Business Analysis · Solution Architecture · Business-to-Business (B2B) · Cloud Computing · Data Science · SQL · Software as a Service (SaaS) · Python (Programming Language)Skills: Networking · Architecture · Automotive Technology · Engineering · Team Leadership · Customer Relationship Management (CRM) · REST APIs · Consulting · Requirements Analysis · Business Analysis · Solution Architecture · Business-to-Business (B2B) · Cloud Computing · Data Science · SQL · Software as a Service (SaaS) · Python (Programming Language),369.67,2.33,10.15
156,2570,1,"Hello, welcome :)I'm an experienced web developer with over 20 years of professional experience in the field. Throughout my career, I've developed a strong proficiency in a wide variety of technologies and platforms. My technical expertise lies in backend technologies such as Node.js and PHP, frontend technologies including React and Angular, and databases like Mongo, Postgres, and MySQL. I also have a knack for mobile app development with a focus on Flutter. Currently, I'm working on a Flutter mobile app.In addition to my development work, I've assumed roles that diversify my skills set, such as project management and documentation writing. These experiences have helped me gain a comprehensive understanding of the IT industry, enhancing my capabilities to execute projects from conception to completion while adhering to the highest standards.But my career extends beyond traditional roles in IT. I am passionate about knowledge transfer, and I've poured this passion into creating several Udemy courses and teaching Informatics at a high school level. The joy of simplifying complex concepts for others, and witnessing their growth and understanding, is a reward unlike any other for me.Outside of my professional sphere, I have a profound interest in Psychology, specifically hypnotherapy. Yes, I work with code, and I work with the subconscious mind. Both are super powerful domains :).This interest has inspired me to create meditation videos, allowing me to combine my love for video creation and mental health advocacy in a unique and impactful way.In essence, I am not only a web developer and IT professional but also a teacher, a creator, a lifelong learner, and an advocate for mental health. I am continuously seeking opportunities to learn, grow, and contribute to various domains beyond my professional expertise.Whether you want to collaborate on a project, need advice on web development, or wish to discuss the intriguing world of hypnotherapy, feel free to connect or drop me a message. I believe in the power of shared knowledge and am always excited to learn from others and share my experiences.Thank you for visiting my profile! Let's connect and create something impactful together.Hello, welcome :)

I'm an experienced web developer with over 20 years of professional experience in the field. Throughout my career, I've developed a strong proficiency in a wide variety of technologies and platforms. My technical expertise lies in backend technologies such as Node.js and PHP, frontend technologies including React and Angular, and databases like Mongo, Postgres, and MySQL. I also have a knack for mobile app development with a focus on Flutter. Currently, I'm working on a Flutter mobile app.


In addition to my development work, I've assumed roles that diversify my skills set, such as project management and documentation writing. These experiences have helped me gain a comprehensive understanding of the IT industry, enhancing my capabilities to execute projects from conception to completion while adhering to the highest standards.

But my career extends beyond traditional roles in IT. I am passionate about knowledge transfer, and I've poured this passion into creating several Udemy courses and teaching Informatics at a high school level. The joy of simplifying complex concepts for others, and witnessing their growth and understanding, is a reward unlike any other for me.

Outside of my professional sphere, I have a profound interest in Psychology, specifically hypnotherapy. 
Yes, I work with code, and I work with the subconscious mind. Both are super powerful domains :).

This interest has inspired me to create meditation videos, allowing me to combine my love for video creation and mental health advocacy in a unique and impactful way.

In essence, I am not only a web developer and IT professional but also a teacher, a creator, a lifelong learner, and an advocate for mental health. I am continuously seeking opportunities to learn, grow, and contribute to various domains beyond my professional expertise.

Whether you want to collaborate on a project, need advice on web development, or wish to discuss the intriguing world of hypnotherapy, feel free to connect or drop me a message. I believe in the power of shared knowledge and am always excited to learn from others and share my experiences.

Thank you for visiting my profile! Let's connect and create something impactful together.",8.0,1.67,126.43
576,3672,1,"I'm a passionate mobile developer with a love for wide range of mobile technologies. I have hands on experience with major mobile platforms such as Android and iOS. I also have worked on multiple HTML5 projects for mobile platforms using HTML5 frameworks such as jQuery Mobile, Bootstrap and PhoneGap to deliver cutting edge mobile optimised solutions that work across multiple operating systems.Specialities : Android, iOS, HTML5, JavaScript, jQuery, jQuery Mobile, PhoneGap, C#, Java, Azure Mobile ServicesI'm a passionate mobile developer with a love for wide range of mobile technologies. I have hands on experience with major mobile platforms such as Android and iOS. I also have worked on multiple HTML5 projects for mobile platforms using HTML5 frameworks such as jQuery Mobile, Bootstrap and PhoneGap to deliver cutting edge mobile optimised solutions that work across multiple operating systems.

Specialities : Android, iOS, HTML5, JavaScript, jQuery, jQuery Mobile, PhoneGap, C#, Java, Azure Mobile Services",15.5,873.33,273.96
104,1745,1,"My expertise is rooted in designing financial IT processes and systems, as well as implementing digital transformation initiatives for Fintech startups, Financial Institutions and a Government Agency. I've previously held various positions in MoolahSense, Crowdfunding Collective, AIA, OCBC and previously served select clients in the areas of banking and treasury management at Sage Capital.With my “boots on the ground”, versatile skill sets honed via 6 years of experience in the digital lending and payments space, I bring a customer-centric understanding of the cross-functional business needs that IT solutions are required to support.Whether it’s deploying a cutting-edge Business Process Management cloud solution that results in a 20% loan approval turnaround time decrease, or a marketing automation software that sells more stuff to prospects, I’ve been able to combine business ‘know-how’ with technical expertise to secure business objectives.My specialties:+ Designing Solution Architecture+ Managing IT Change Management for Financial Companies+ Business Process Digitalisation+ Operations Management+ Business development+ Partnership and Institutional Investor relations+ Pioneering startup organisations+ Online marketing Outside of work, I enjoy cycling, fishing, reverse engineering food recipes, and exploring the geography of remote islands on Google Maps, so if you ever want to bounce ideas off me, please feel free to private message me.Top 5 StrengthsFinder Talents: -Analytical-Achiever-Activator-Responsibility-ContextMy expertise is rooted in designing financial IT processes and systems, as well as implementing digital transformation initiatives for Fintech startups, Financial Institutions and a Government Agency. I've previously held various positions in MoolahSense, Crowdfunding Collective, AIA, OCBC and previously served select clients in the areas of banking and treasury management at Sage Capital.

With my “boots on the ground”, versatile skill sets honed via 6 years of experience in the digital lending and payments space, I bring a customer-centric understanding of the cross-functional business needs that IT solutions are required to support.

Whether it’s deploying a cutting-edge Business Process Management cloud solution that results in a 20% loan approval turnaround time decrease, or a marketing automation software that sells more stuff to prospects, I’ve been able to combine business ‘know-how’ with technical expertise to secure business objectives.

My specialties:
+ Designing Solution Architecture
+ Managing IT Change Management for Financial Companies
+ Business Process Digitalisation
+ Operations Management
+ Business development
+ Partnership and Institutional Investor relations
+ Pioneering startup organisations
+ Online marketing 

Outside of work, I enjoy cycling, fishing, reverse engineering food recipes, and exploring the geography of remote islands on Google Maps, so if you ever want to bounce ideas off me, please feel free to private message me.


Top 5 StrengthsFinder Talents: 
-Analytical
-Achiever
-Activator
-Responsibility
-Context",0.0,0.0,91.32
1076,531,0,"As an experienced software engineer, Jonathan loves building amazing user experiences on Apple devices.As an experienced software engineer, Jonathan loves building amazing user experiences on Apple devices.",0.0,0.0,101.47
1654,1416,1,"A true tech polymath, with a talent for problem-solving and an insatiable appetite for learning.For a complete summary of my background, please visit: https://laurentiugabriel.github.ioA true tech polymath, with a talent for problem-solving and an insatiable appetite for learning.

For a complete summary of my background, please visit: https://laurentiugabriel.github.io",28.33,0.0,32.77
2423,26453,1,"I have 6+ years of experience in Data Science. I work on the latest NLP algorithms such as BERT, XLNET, ELMO, GPT, and BigBird. Most of my work is around building AI search engines, product recommendations, user profiling, and getting insight from the data. While working at IGP.COM, I have really enjoyed it and done a lot of cool projects. Some of my products feature at IGP are listed belowAI-Powered Search at IGP.COM֍ Used the latest algorithm like 'BERT' which Google uses to power their search.֍ Real-time Syntactic and Semantic analysis offers accurate and intuitive search in real-time. Plus adaptive typo tolerance and Hinglish spelling correction.֍ Real-time demographic filtering using AI-Enabled algorithms on many key parameters including occasion, relationship, recipient, festivals, city, country, etc.֍ Intelligent synonyms selection avoids the concern of not knowing what exactly a visitor would search for.֍ Real-time reporting, analysis & intelligent insights using Kibana resulting in both short-term & long-term improvements.֍ 23.5% improvement in the search conversion ֍ 25% improvement in the revenue generated by search֍ 0.2% zero-result queries ֍ 10% reduced exit rateGraph Powered Products Recommendation in Real-time֍ People like you also buy֍ Frequently bought together֍ After viewing this people bought֍ Products based on your shopping trends֍ Currently hotSearch 2.0֍ Implemented facet search and filter֍ Implemented in-query filtering ֍ Search entity recognition over the 35 labels֍ Dynamic query suggestionsPersonalized Search֍ Dynamic products ranking to individual userGraph and Big Data֍ Designing and implementation of the graph and big-data analysis toolsI have 6+ years of experience in Data Science. I work on the latest NLP algorithms such as BERT, XLNET, ELMO, GPT, and BigBird. Most of my work is around building AI search engines, product recommendations, user profiling, and getting insight from the data. While working at IGP.COM, I have really enjoyed it and done a lot of cool projects. Some of my products feature at IGP are listed below

AI-Powered Search at IGP.COM
֍ Used the latest algorithm like 'BERT' which Google uses to power their search.
֍ Real-time Syntactic and Semantic analysis offers accurate and intuitive search in real-time. Plus adaptive typo tolerance and Hinglish spelling correction.
֍ Real-time demographic filtering using AI-Enabled algorithms on many key parameters including occasion, relationship, recipient, festivals, city, country, etc.
֍ Intelligent synonyms selection avoids the concern of not knowing what exactly a visitor would search for.
֍ Real-time reporting, analysis & intelligent insights using Kibana resulting in both short-term & long-term improvements.
֍ 23.5% improvement in the search conversion	
֍ 25% improvement in the revenue generated by search
֍ 0.2% zero-result queries 
֍ 10% reduced exit rate

Graph Powered Products Recommendation in Real-time
֍ People like you also buy
֍ Frequently bought together
֍ After viewing this people bought
֍ Products based on your shopping trends
֍ Currently hot

Search 2.0
֍ Implemented facet search and filter
֍ Implemented in-query filtering 
֍ Search entity recognition over the 35 labels
֍ Dynamic query suggestions

Personalized Search
֍ Dynamic products ranking to individual user

Graph and Big Data
֍ Designing and implementation of the graph and big-data analysis tools",5.0,0.0,3.0
844,13702,1,"Sou Consultor, Autor e Palestrante desde 2003, com um histórico sólido em Fusões e Aquisições, Estratégia, Liderança, Finanças Corporativas, Gestão e Governança. Ao longo dos anos, tenho atuado como um Agente de transição em funções-chave como M&A Advisor, CFO e Conselheiro, contribuindo para o sucesso e crescimento de diversas empresas.O que realmente me motiva é a capacidade de promover mudanças significativas e preparar empresas para o próximo nível, seja através de estratégias de crescimento, melhoria de performance, captação de recursos, vendas ou sucessões. Tenho uma abordagem holística e uma rede sólida de contatos nacionais e internacionais com investidores, empresários e profissionais.Minha experiência abrange desde a construção e avaliação de planos de negócios até a expertise completa em processos de Fusões e Aquisições (M&A), tanto do lado da venda quanto da compra. Além disso, domino aspectos jurídicos e contábeis complexos, o que me permite uma visão completa das necessidades empresariais.Sou um entusiasta da tecnologia e, como Investidor, busco startups promissoras para apoiar. Também sou um apaixonado por desafios externos, como montanhismo, e adoto tecnologias inovadoras para otimizar e escalar os negócios.Sou Consultor, Autor e Palestrante desde 2003, com um histórico sólido em Fusões e Aquisições, Estratégia, Liderança, Finanças Corporativas, Gestão e Governança. Ao longo dos anos, tenho atuado como um Agente de transição em funções-chave como M&A Advisor, CFO e Conselheiro, contribuindo para o sucesso e crescimento de diversas empresas.

O que realmente me motiva é a capacidade de promover mudanças significativas e preparar empresas para o próximo nível, seja através de estratégias de crescimento, melhoria de performance, captação de recursos, vendas ou sucessões. Tenho uma abordagem holística e uma rede sólida de contatos nacionais e internacionais com investidores, empresários e profissionais.

Minha experiência abrange desde a construção e avaliação de planos de negócios até a expertise completa em processos de Fusões e Aquisições (M&A), tanto do lado da venda quanto da compra. Além disso, domino aspectos jurídicos e contábeis complexos, o que me permite uma visão completa das necessidades empresariais.

Sou um entusiasta da tecnologia e, como Investidor, busco startups promissoras para apoiar. Também sou um apaixonado por desafios externos, como montanhismo, e adoto tecnologias inovadoras para otimizar e escalar os negócios.",24.0,1.67,1.33
1164,51601,1,Driven by new challenges.Driven by new challenges.,141.67,12.67,1.33
81,62969,1,"Quick adaptation to new challenges and responsibilities. Experience of working with tight deadlines and under time pressure while ensuring quality.Great interest in acquiring and improving skills. Tech-enthusiast and programmer.Quick adaptation to new challenges and responsibilities. Experience of working with tight deadlines and under time pressure while ensuring quality.
Great interest in acquiring and improving skills. Tech-enthusiast and programmer.",4229.0,116.0,40.59
1953,2677,1,I am passionate about studying and teachingI am passionate about studying and teaching,9.0,1.0,30.44
2136,303,0,Getting things doneGetting things done,7.0,0.33,20.29
1165,329,0,"Hi there, my name is Michel Murr. I'm a software engineer from one the most highly esteemed universities in the middle east and the founder of DoubleM Development. I started coding when I was about 11 years old when my dad taught me my first lines in HTML and I have never looked back.Now a Software Engineer with more than 10 years of experience I am the founder of DoubleM GameDev a leading game development software company in the middle east.Over the years I've helped hundreds of student create real world games, learn how to code and set their life up for opportunities in many field that require a software programming skillset. And I will help you do the same.I have a complete mastery of C#, JAVA, C++, Python and my aim is to teach you all of these and more in a fun way.I cannot wait to help you start on your journey and help you along every single step.I'll see you very soon!MichelHi there, my name is Michel Murr. I'm a software engineer from one the most highly esteemed universities in the middle east and the founder of DoubleM Development. 

I started coding when I was about 11 years old when my dad taught me my first lines in HTML and I have never looked back.

Now a Software Engineer with more than 10 years of experience I am the founder of DoubleM GameDev a leading game development software company in the middle east.

Over the years I've helped hundreds of student create real world games, learn how to code and set their life up for opportunities in many field that require a software programming skillset. And I will help you do the same.

I have a complete mastery of C#, JAVA, C++, Python and my aim is to teach you all of these and more in a fun way.

I cannot wait to help you start on your journey and help you along every single step.

I'll see you very soon!

Michel",5.67,0.33,121.76
249,4377,1,"Tax Attorney highly experienced, Tax Law professor and former judge at Brazilian Council of Tax Appeals (CARF).Specialized in corporate tax, I bring a wealth of experience in tax advisory and litigation mostly in indirect taxation and income tax matters. As a skilled tax attorney I have successfully represented clients in complex tax litigation and conducted thorough legal advices to achieve favorable outcomes. I also provide tax consultancy in order to help them minimize liabilities.My experience as a former judge at the Brazilian Council of Tax Appeals (CARF) further enhances my ability to provide highly tecnical tax consultancy, mainly in income tax, indirect tax and corporate tax.In addition, to hold a position as a Tax Law professor assures maintance routine of legal research and legal writing.Tax Attorney highly experienced, Tax Law professor and former judge at Brazilian Council of Tax Appeals (CARF).
Specialized in corporate tax, I bring a wealth of experience in tax advisory and litigation mostly in indirect taxation and income tax matters. As a skilled tax attorney I have successfully represented clients in complex tax litigation and conducted thorough legal advices to achieve favorable outcomes. I also provide tax consultancy in order to help them minimize liabilities.
My experience as a former judge at the Brazilian Council of Tax Appeals (CARF) further enhances my ability to provide highly tecnical tax consultancy, mainly in income tax, indirect tax and corporate tax.
In addition, to hold a position as a Tax Law professor assures maintance routine of legal research and legal writing.",56.67,0.67,13.48
1640,57949,1,"As the founder of Digital Cloud Training, I'm passionate about providing high-quality training resources to help students thrive in the cloud computing industry. With over 750,000 students enrolled in our courses, our mission is to equip learners with the knowledge and skills they need to succeed in their next cloud roles. Our range of course offerings includes on-demand videos, practice exams, and hands-on challenge labs. Our Cloud Mastery Bootcamp is a comprehensive 12-month program that covers essential cloud technologies, such as AWS, Linux, Python, Kubernetes, Terraform, and more - unlocking lucrative opportunities in the fastest-growing sector of the tech industry. We believe that the cloud computing industry offers endless opportunities, and are dedicated to supporting our students in achieving their cloud career goals!As the founder of Digital Cloud Training, I'm passionate about providing high-quality training resources to help students thrive in the cloud computing industry. With over 750,000 students enrolled in our courses, our mission is to equip learners with the knowledge and skills they need to succeed in their next cloud roles. 

Our range of course offerings includes on-demand videos, practice exams, and hands-on challenge labs. Our Cloud Mastery Bootcamp is a comprehensive 12-month program that covers essential cloud technologies, such as AWS, Linux, Python, Kubernetes, Terraform, and more - unlocking lucrative opportunities in the fastest-growing sector of the tech industry. 

We believe that the cloud computing industry offers endless opportunities, and are dedicated to supporting our students in achieving their cloud career goals!",45.33,3.67,1.0
